ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,Sex,ID Sex
2014,"2014","true","true",21192,17411.190751297883,513.2314526416908,549742,18166.71757543983,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2015,"2015","true","true",21877,17519.807151457324,518.9865493810746,572247,18533.945277178147,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",22440,20999.608415549803,664.8392265879967,585345,18746.556956179076,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2016,"2016","true","true",22683,18041.934950074225,537.6312063500757,590777,18831.007443872415,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2017,"2017","true","true",23175,19077.411316106627,605.4351562451673,602398,19015.236835804506,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2018,"2018","true","true",23508,19975.67268190271,649.1921582417971,608732,19115.094687988723,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2019,"2019","true","true",23794,20646.044070822747,636.956323713307,612741,19178.254696596196,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",55551,16659.34623366508,329.8457401717748,1358363,28482.858404137023,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",58290,13657.904052619711,252.96861345837962,1392482,28823.007957575268,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2015,"2015","true","true",58771,13779.600013713727,253.23143080879808,1414641,29051.56636354859,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2019,"2019","true","true",59356,16291.614440743633,312.217901376024,1416506,29079.575722249,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2017,"2017","true","true",59159,14929.335479463223,286.9808990312114,1422716,29138.497266345068,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2018,"2018","true","true",59426,15686.03985655968,302.7175914583903,1422752,29140.920129564143,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2016,"2016","true","true",59070,14221.480312389873,266.7076262440245,1427319,29182.526348801803,"Waiters & waitresses","353031","waiters-waitresses","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",21455,13640.754122226153,474.9500109563041,494575,17234.604785209267,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2015,"2015","true","true",21868,13745.20760203511,502.4466437434848,509653,17494.916911464836,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2016,"2016","true","true",22112,14179.68036547247,538.3333776001808,519875,17669.367671380685,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2017,"2017","true","true",22218,14766.57768852428,540.9714422987806,526590,17783.269642151623,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2020,"2020","true","true",21233,16689.585546110422,573.9137728289312,528785,17821.255347483588,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2018,"2018","true","true",22474,15394.762006005578,568.6976627363518,533837,17905.236415193453,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2019,"2019","true","true",22507,16235.822287970994,579.7063398711542,541117,18026.942848023587,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",41759,16408.596156424257,334.945513340947,1103972,25691.384541864914,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",41480,19589.161450776646,449.68292914221615,1120007,25884.402317901637,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2015,"2015","true","true",42445,16344.692482556373,333.6467984770404,1128349,25972.93148892386,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2016,"2016","true","true",43350,16816.78594830282,359.57180170693965,1151320,26235.536960953174,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2019,"2019","true","true",43907,19131.689918092026,434.3950950247456,1162280,26364.03572488623,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2017,"2017","true","true",43831,17513.336092022375,373.41033936023456,1163717,26377.144949648296,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2018,"2018","true","true",44050,18323.08799701255,395.9895637660144,1167551,26421.732621598898,"Cooks","352010","cooks","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2014,"2014","true","true",15099,33703.07886774896,1263.4508580357742,363241,14777.215747117485,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2015,"2015","true","true",15289,33709.84003896894,1244.4035782592675,371578,14945.713761427609,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2016,"2016","true","true",15779,34073.48780851911,1250.3463325207922,381824,15150.143071298691,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2017,"2017","true","true",16412,35270.08531989318,1268.8552305220217,398805,15482.813271574938,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2018,"2018","true","true",16960,36224.9346263792,1238.1546238418239,411741,15731.523792196911,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2019,"2019","true","true",17425,37438.56521170407,1315.8357076270556,420469,15897.239616503999,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2020,"2020","true","true",16807,38061.69393217615,1364.0035883277037,420678,15901.295561197412,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",17212,49971.24172170659,1942.6031270527787,425903,15997.436472129388,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2015,"2015","true","true",17246,49755.7473032505,1944.7090438058926,430611,16085.754739729782,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2016,"2016","true","true",17535,50301.575878923235,1963.6851016470278,437012,16204.903405289351,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2017,"2017","true","true",17921,52183.371347687076,2053.367884171395,442254,16301.945182701958,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2018,"2018","true","true",18149,53497.50853510624,2097.644344304274,445220,16356.707981358892,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",17566,55821.41499502254,2211.7779420027337,447015,16390.03806956745,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2019,"2019","true","true",18439,54399.44315921118,2135.686331053157,449378,16433.04097460614,"Food service managers","119051","food-service-managers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2014,"2014","true","true",7480,12576.289038062961,1270.939016991985,183827,10519.28673458273,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2015,"2015","true","true",7656,11809.68190782617,1160.3428724811158,187103,10612.598168384782,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2016,"2016","true","true",7817,11428.49538613011,1103.043793111204,190946,10721.001846216792,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2017,"2017","true","true",7977,11754.816450180946,1160.896261308329,195086,10836.573518290626,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2018,"2018","true","true",7965,11985.245378305583,1186.9776902605454,196032,10862.88468907892,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",7688,12351.34016652399,1166.5139558556268,196248,10869.002637566988,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2019,"2019","true","true",8111,11979.333036392827,1162.0158222072337,198693,10936.371826062725,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",23149,12226.631948759945,604.2212570645527,587353,18778.556343219945,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",24768,10321.134092997243,430.9286951951261,600792,18987.919684574925,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2019,"2019","true","true",24905,11803.624962358785,540.4110586329941,617674,19254.975818112904,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2015,"2015","true","true",25356,10147.703337879619,413.72346389763396,618087,19258.779972780892,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2018,"2018","true","true",25177,11282.837334072312,500.62556776951186,620677,19300.932489465842,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2017,"2017","true","true",25290,10882.196211610059,482.4235378823293,623959,19351.07925528625,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2016,"2016","true","true",25658,10361.807844122233,453.21682774051874,629057,19428.866951819342,"Cashiers","412010","cashiers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2014,"2014","true","true",11238,12560.918469523678,523.045189934129,283023,13047.706359215515,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2020,"2020","true","true",12066,14954.128955233906,779.6954024889998,297770,13383.77330277851,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2015,"2015","true","true",11896,12780.526786248727,544.0429892110923,300714,13448.684681763189,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2016,"2016","true","true",12475,12941.878097217781,570.5937351982222,312700,13713.740510044647,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2019,"2019","true","true",13092,14698.94870830354,737.4966828676743,321670,13909.318710307381,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2017,"2017","true","true",13093,13460.396377813957,595.868558304562,326764,14018.325067782585,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2018,"2018","true","true",13253,14027.65941696772,628.8962696077999,327186,14027.579523143582,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Male",1
2014,"2014","true","true",14838,11147.857838686436,411.3822803285986,341422,14327.677292838836,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2015,"2015","true","true",15579,11179.122176951067,430.2496733157785,362507,14762.642944585896,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2020,"2020","true","true",16291,13338.450553258515,559.6537824349601,380925,15133.373190200655,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2016,"2016","true","true",16570,11463.029779306466,420.5988257532151,387551,15263.027874921765,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2017,"2017","true","true",17550,11955.503106942426,469.91721529381454,408762,15674.355961425299,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2019,"2019","true","true",17743,12928.436272013425,519.7562730775339,412362,15743.671501699335,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2
2018,"2018","true","true",18144,12432.06886782147,492.8316502682178,421082,15908.457669137075,"Food preparation workers","352021","food-preparation-workers","Restaurants & Food Services","722Z","restaurants-food-services","Female",2